County,Year,House_price
Phillips County,2007,nan
Phillips County,2008,nan
Phillips County,2009,nan
Phillips County,2010,nan
Phillips County,2011,nan
Phillips County,2012,nan
Phillips County,2013,nan
Phillips County,2014,90268.27778
Phillips County,2015,99593.75
Phillips County,2016,110578.0417
Pitkin County,1997,552223.5
Pitkin County,1998,476807.5222
Pitkin County,1999,507021.7778
Pitkin County,2000,572304.9444
Pitkin County,2001,625104.6944
Pitkin County,2002,555844.5417
Pitkin County,2003,554271.2885
Pitkin County,2004,567533.1667
Pitkin County,2005,597192.5208
Pitkin County,2006,621985.625
Pitkin County,2007,637459.9583
Pitkin County,2008,567666.4167
Pitkin County,2009,565536.1167
Pitkin County,2010,559031.1667
Pitkin County,2011,555850
Pitkin County,2012,571859
Pitkin County,2013,611702.95
Pitkin County,2014,665585.25
Pitkin County,2015,731479.7
Pitkin County,2016,778772.9333
Prowers County,1997,31330.25
Prowers County,1998,35991.23611
Prowers County,1999,35766.71667
Prowers County,2000,40560.3125
Prowers County,2001,45587.04167
Prowers County,2002,47995.60417
Prowers County,2003,49234.71154
Prowers County,2004,51669.72917
Prowers County,2005,54346.0625
Prowers County,2006,55663.35417
Prowers County,2007,56641.4375
Prowers County,2008,48236.08333
Prowers County,2009,46227.38333
Prowers County,2010,44822.01667
Prowers County,2011,43374.33333
Prowers County,2012,43783.58333
Prowers County,2013,46476.85
Prowers County,2014,50551.23333
Prowers County,2015,55917.75
Prowers County,2016,60739.88333
Pueblo County,1997,98295.60417
Pueblo County,1998,99200.64583
Pueblo County,1999,103929.15
Pueblo County,2000,110311.6833
Pueblo County,2001,116178.2
Pueblo County,2002,115781.5069
Pueblo County,2003,122001.8718
Pueblo County,2004,124690.1944
Pueblo County,2005,130393.2639
Pueblo County,2006,139693.5833
Pueblo County,2007,140007.3056
Pueblo County,2008,135073.4861
Pueblo County,2009,134231.4306
Pueblo County,2010,133036.5556
Pueblo County,2011,125208.4444
Pueblo County,2012,122623.4306
Pueblo County,2013,120800.1389
Pueblo County,2014,120165.9444
Pueblo County,2015,128493.6528
Pueblo County,2016,139639.0417
Rio Blanco County,1997,nan
Rio Blanco County,1998,nan
Rio Blanco County,1999,nan
Rio Blanco County,2000,105701.375
Rio Blanco County,2001,116031.4583
Rio Blanco County,2002,120143.625
Rio Blanco County,2003,121858.1923
Rio Blanco County,2004,126359.9583
Rio Blanco County,2005,128867.25
Rio Blanco County,2006,135782.25
Rio Blanco County,2007,143178.5833
Rio Blanco County,2008,149293.7083
Rio Blanco County,2009,151078.4583
Rio Blanco County,2010,149145.3333
Rio Blanco County,2011,148480.9167
Rio Blanco County,2012,149473.5417
Rio Blanco County,2013,160583.5833
Rio Blanco County,2014,172705.6667
Rio Blanco County,2015,190692.5
Rio Blanco County,2016,210152.375
Rio Grande County,1997,69088.58333
Rio Grande County,1998,75230.83333
Rio Grande County,1999,105488.25
Rio Grande County,2000,106246.0833
Rio Grande County,2001,112544.6944
Rio Grande County,2002,116461.1944
Rio Grande County,2003,119528.6923
Rio Grande County,2004,125151.7222
Rio Grande County,2005,132048.4167
Rio Grande County,2006,138659.0278
Rio Grande County,2007,138564.4722
Rio Grande County,2008,139487.0278
Rio Grande County,2009,135771
Rio Grande County,2010,132294.5
Rio Grande County,2011,128983.1389
Rio Grande County,2012,130619.75
Rio Grande County,2013,139924.4167
Rio Grande County,2014,149205.8611
Rio Grande County,2015,161241.6111
Rio Grande County,2016,172016.75
Routt County,1997,144568.8571
Routt County,1998,155051.7381
Routt County,1999,162190.3214
Routt County,2000,181509.75
Routt County,2001,193982.369
Routt County,2002,201845
Routt County,2003,209523.3846
Routt County,2004,219091.119
Routt County,2005,230794.5
Routt County,2006,243840.8452
Routt County,2007,266235.7262
Routt County,2008,336971.125
Routt County,2009,316832.9583
Routt County,2010,305946.5208
Routt County,2011,292600.9271
Routt County,2012,291194.1146
Routt County,2013,301728.3125
Routt County,2014,322220.8229
Routt County,2015,343634.7396
Routt County,2016,358156.3958
Saguache County,1997,42280.91667
Saguache County,1998,43930.66667
Saguache County,1999,69658.41667
Saguache County,2000,77527.94444
Saguache County,2001,87221.13889
Saguache County,2002,88393.13889
Saguache County,2003,91025.41026
Saguache County,2004,81355.29333
Saguache County,2005,84265.95
Saguache County,2006,86656.88333
Saguache County,2007,88506.21667
Saguache County,2008,89593.3
Saguache County,2009,88706.66667
Saguache County,2010,86601.65
Saguache County,2011,85491.6
Saguache County,2012,85441.3
Saguache County,2013,91124.2
Saguache County,2014,100412.6833
Saguache County,2015,107875.05
Saguache County,2016,116696.5167
San Juan County,1997,nan
San Juan County,1998,nan
San Juan County,1999,nan
San Juan County,2000,nan
San Juan County,2001,nan
San Juan County,2002,nan
San Juan County,2003,nan
San Juan County,2004,nan
San Juan County,2005,nan
San Juan County,2006,263150.4
San Juan County,2007,262514.9167
San Juan County,2008,257089.4167
San Juan County,2009,249210.3333
San Juan County,2010,239987.25
San Juan County,2011,231539.5
San Juan County,2012,222969.3333
San Juan County,2013,230775.9167
San Juan County,2014,245153.3333
San Juan County,2015,262751.25
San Juan County,2016,255709.4167
San Miguel County,1997,290230.0625
San Miguel County,1998,308730.4792
San Miguel County,1999,342308.4375
San Miguel County,2000,387036.4167
San Miguel County,2001,424261.9167
San Miguel County,2002,447200.3958
San Miguel County,2003,464821.5769
San Miguel County,2004,488194.9583
San Miguel County,2005,529115.9375
San Miguel County,2006,562222.7708
San Miguel County,2007,580140.125
San Miguel County,2008,587154.9583
San Miguel County,2009,576959.4375
San Miguel County,2010,554406.6875
San Miguel County,2011,525146.6667
San Miguel County,2012,524355.1042
San Miguel County,2013,548860.6667
San Miguel County,2014,540694.0067
San Miguel County,2015,489113.4048
San Miguel County,2016,519019.5952
Sedgwick County,1997,nan
Sedgwick County,1998,nan
Sedgwick County,1999,nan
Sedgwick County,2000,nan
Sedgwick County,2001,nan
Sedgwick County,2002,nan
Sedgwick County,2003,nan
Sedgwick County,2004,nan
Sedgwick County,2005,nan
Sedgwick County,2006,nan
Sedgwick County,2007,nan
Sedgwick County,2008,50837.41667
Sedgwick County,2009,47571.66667
Sedgwick County,2010,43227.75
Sedgwick County,2011,35322.04167
Sedgwick County,2012,35501.63889
Sedgwick County,2013,35994.5
Sedgwick County,2014,39410.91667
Sedgwick County,2015,43391.22222
Sedgwick County,2016,47329.41667
Summit County,1997,nan
Summit County,1998,nan
Summit County,1999,223403.2269
Summit County,2000,250463.1111
Summit County,2001,263095.2222
Summit County,2002,273138.8889
Summit County,2003,281645.8205
Summit County,2004,294136.1389
Summit County,2005,304849.65
Summit County,2006,328434.75
Summit County,2007,347014.55
Summit County,2008,380908.9028
Summit County,2009,381781.7361
Summit County,2010,368254.8611
Summit County,2011,355545.0833
Summit County,2012,358523.0278
Summit County,2013,369329.6667
Summit County,2014,389929.8472
Summit County,2015,406747.2778
Summit County,2016,447647.1528
Teller County,1997,103601.8333
Teller County,1998,109636.1
Teller County,1999,117109.4833
Teller County,2000,127863.4167
Teller County,2001,135530.6333
Teller County,2002,140564.3167
Teller County,2003,143391.7077
Teller County,2004,148258.1333
Teller County,2005,153925.3667
Teller County,2006,160435.8167
Teller County,2007,167771.0333
Teller County,2008,168542.6167
Teller County,2009,164747.6333
Teller County,2010,160741.55
Teller County,2011,156623.9667
Teller County,2012,158510.2167
Teller County,2013,168053.2667
Teller County,2014,180082.5333
Teller County,2015,194769.4333
Teller County,2016,211584.0167
Washington County,1997,nan
Washington County,1998,nan
Washington County,1999,nan
Washington County,2000,nan
Washington County,2001,nan
Washington County,2002,nan
Washington County,2003,nan
Washington County,2004,nan
Washington County,2005,nan
Washington County,2006,nan
Washington County,2007,nan
Washington County,2008,58917
Washington County,2009,58473.16667
Washington County,2010,56912.08333
Washington County,2011,54184.33333
Washington County,2012,58249
Washington County,2013,64038.91667
Washington County,2014,64225.08333
Washington County,2015,86096.75505
Washington County,2016,97781.52778
Weld County,1997,164598.6235
Weld County,1998,173410.1914
Weld County,1999,190099.4259
Weld County,2000,205095.7932
Weld County,2001,225987.3241
Weld County,2002,242347.7259
Weld County,2003,249662.1857
Weld County,2004,255429.6408
Weld County,2005,259773.3649
Weld County,2006,258286.3822
Weld County,2007,248158.9713
Weld County,2008,228727.4167
Weld County,2009,218623.8333
Weld County,2010,212775.8477
Weld County,2011,206673.3276
Weld County,2012,213706.408
Weld County,2013,229602.8305
Weld County,2014,254511.4885
Weld County,2015,284179.5891
Weld County,2016,307618.5374
Yuma County,1997,nan
Yuma County,1998,nan
Yuma County,1999,nan
Yuma County,2000,nan
Yuma County,2001,nan
Yuma County,2002,nan
Yuma County,2003,nan
Yuma County,2004,nan
Yuma County,2005,97012.41944
Yuma County,2006,97817.89583
Yuma County,2007,97916.25
Yuma County,2008,99353.5
Yuma County,2009,97725.47917
Yuma County,2010,98335.56944
Yuma County,2011,99034.97619
Yuma County,2012,102651.1429
Yuma County,2013,110623.4762
Yuma County,2014,120436.2976
Yuma County,2015,131109.8095
Yuma County,2016,147907.7024
